
title	'burbs, The (1989)	(500) Days of Summer (2009)	10 Cloverfield Lane (2016)	10 Things I Hate About You (1999)	10,000 BC (2008)	101 Dalmatians (1996)	101 Dalmatians (One Hundred and One Dalmatians) (1961)	12 Angry Men (1957)	12 Years a Slave (2013)	127 Hours (2010)	...	Zack and Miri Make a Porno (2008)	Zero Dark Thirty (2012)	Zero Effect (1998)	Zodiac (2007)	Zombieland (2009)	Zoolander (2001)	Zootopia (2016)	eXistenZ (1999)	xXx (2002)	¡Three Amigos! (1986)
title																					
'burbs, The (1989)	1.000000	0.063117	-0.023768	0.143482	0.011998	0.087931	0.224052	0.034223	0.009277	0.008331	...	0.017477	0.032470	0.134701	0.153158	0.101301	0.049897	0.003233	0.187953	0.062174	0.353194
(500) Days of Summer (2009)	0.063117	1.000000	0.142471	0.273989	0.193960	0.148903	0.142141	0.159756	0.135486	0.200135	...	0.374515	0.178655	0.068407	0.414585	0.355723	0.252226	0.216007	0.053614	0.241092	0.125905
10 Cloverfield Lane (2016)	-0.023768	0.142471	1.000000	-0.005799	0.112396	0.006139	-0.016835	0.031704	-0.024275	0.272943	...	0.242663	0.099059	-0.023477	0.272347	0.241751	0.195054	0.319371	0.177846	0.096638	0.002733
10 Things I Hate About You (1999)	0.143482	0.273989	-0.005799	1.000000	0.244670	0.223481	0.211473	0.011784	0.091964	0.043383	...	0.243118	0.104858	0.132460	0.091853	0.158637	0.281934	0.050031	0.121029	0.130813	0.110612
10,000 BC (2008)	0.011998	0.193960	0.112396	0.244670	1.000000	0.234459	0.119132	0.059187	-0.025882	0.089328	...	0.260261	0.087592	0.094913	0.184521	0.242299	0.240231	0.094773	0.088045	0.203002	0.083518
101 Dalmatians (1996)	0.087931	0.148903	0.006139	0.223481	0.234459	1.000000	0.285112	0.119843	0.072399	0.029967	...	0.114968	0.077232	0.096294	0.067134	0.113224	0.184324	0.054024	0.047804	0.156932	0.078734
101 Dalmatians (One Hundred and One Dalmatians) (1961)	0.224052	0.142141	-0.016835	0.211473	0.119132	0.285112	1.000000	0.134037	0.017264	-0.046277	...	0.120302	0.125816	0.049818	0.083650	0.171654	0.274260	0.077594	0.085606	0.248820	0.171118
12 Angry Men (1957)	0.034223	0.159756	0.031704	0.011784	0.059187	0.119843	0.134037	1.000000	0.132979	0.058862	...	0.104518	0.028415	0.079905	0.241435	0.144652	0.122107	0.056742	-0.001708	0.074306	0.102744
12 Years a Slave (2013)	0.009277	0.135486	-0.024275	0.091964	-0.025882	0.072399	0.017264	0.132979	1.000000	0.249931	...	0.024045	0.038127	0.013786	0.190366	0.104150	0.017351	0.063325	0.002528	0.037469	0.004213
127 Hours (2010)	0.008331	0.200135	0.272943	0.043383	0.089328	0.029967	-0.046277	0.058862	0.249931	1.000000	...	0.223135	0.154299	0.012907	0.364841	0.198926	0.091416	0.225747	0.128638	0.153335	0.002912
13 Going on 30 (2004)	0.049700	0.297152	-0.027835	0.321071	0.167098	0.188467	0.218406	-0.027672	0.092133	0.043314	...	0.103892	0.171578	0.024181	0.134812	0.108230	0.225685	0.069602	0.010007	0.139022	0.021094
13th Warrior, The (1999)	0.176071	0.072835	-0.029983	0.215828	0.163148	0.004213	0.135894	0.084760	0.040699	0.005800	...	0.104176	0.020703	0.120064	0.166900	0.074339	0.110602	0.043481	0.193831	0.120495	0.164405
1408 (2007)	0.131993	0.226574	0.181245	0.069470	0.133706	0.159777	0.227193	0.189497	0.227912	0.226178	...	0.255607	0.080251	0.085942	0.489065	0.340620	0.250310	0.155936	0.185768	0.336272	0.130120
15 Minutes (2001)	0.104500	0.087240	0.017315	0.223197	0.190482	0.023682	0.150835	0.001958	0.036131	0.027306	...	0.203207	0.146579	0.202411	0.148711	0.205183	0.161740	0.052809	0.149044	0.328057	0.122113
17 Again (2009)	0.047271	0.342948	-0.019197	0.231261	0.174499	0.064464	0.121410	0.049762	0.177934	0.054016	...	0.263390	0.122126	0.060692	0.194117	0.274326	0.127872	0.098426	0.044268	0.117481	0.031311
1984 (Nineteen Eighty-Four) (1984)	0.184452	0.038255	0.049227	0.131719	0.076915	0.060264	0.016212	0.083904	-0.024158	0.042696	...	0.086713	0.097415	0.248409	0.044366	0.033937	0.119897	0.055617	0.348052	0.228618	0.056773
2 Days in the Valley (1996)	0.092824	0.040104	-0.020711	0.084953	0.074188	-0.011668	0.012298	0.005600	0.045062	0.044682	...	0.034641	0.051850	0.132592	0.082067	0.039383	0.079517	0.019376	0.208630	0.114278	0.157638
2 Fast 2 Furious (Fast and the Furious 2, The) (2003)	0.084066	0.241906	0.097364	0.241569	0.383957	0.226195	0.278202	0.038303	0.042812	0.206104	...	0.325163	0.234824	0.028620	0.245552	0.258282	0.392528	0.228663	0.066253	0.536836	0.067338
20,000 Leagues Under the Sea (1954)	0.166599	0.001739	0.012478	-0.025007	0.062390	0.048827	0.077642	0.095175	-0.026507	-0.027924	...	0.060311	0.028748	0.150319	0.044810	0.005268	0.048607	-0.018962	0.015235	0.071050	0.097238
2001: A Space Odyssey (1968)	0.205977	0.113616	0.099310	0.085974	0.043458	0.110844	0.102230	0.195909	0.123191	0.140796	...	0.150649	0.097214	0.257591	0.350332	0.196175	0.148409	0.099252	0.306034	0.164096	0.182865
2010: The Year We Make Contact (1984)	0.187019	0.030603	-0.025037	0.011587	0.013928	0.059165	0.047708	0.101566	0.013679	0.012730	...	-0.030538	-0.025196	0.001312	0.058882	0.012049	0.074948	-0.038347	0.200411	0.035180	0.219199
2012 (2009)	0.006377	0.274272	0.205739	0.064187	0.183503	0.090231	0.112334	0.236037	0.148870	0.167471	...	0.509651	0.259952	0.092917	0.360150	0.333374	0.247075	0.237767	0.001442	0.185387	0.015040
21 (2008)	-0.027152	0.285043	0.082904	0.148407	0.150917	0.162742	0.067912	0.151766	0.231514	0.153485	...	0.225184	0.235334	-0.026819	0.331253	0.256881	0.233673	0.057323	-0.032526	0.171219	0.011468
21 Grams (2003)	0.035609	0.094029	-0.030166	0.092169	0.169458	0.065939	0.077724	0.008812	0.075000	0.070118	...	0.124965	0.032101	0.101073	0.127659	0.055743	0.111366	0.018279	0.242192	0.190836	0.078982
21 Jump Street (2012)	-0.014293	0.284552	0.309963	0.253355	0.230999	0.083229	0.131736	0.032199	0.087002	0.184179	...	0.542606	0.126981	0.047505	0.321640	0.442869	0.264151	0.304622	0.090014	0.081160	0.081730
22 Jump Street (2014)	-0.027713	0.194200	0.292432	0.128083	0.083669	0.047292	0.040373	0.030868	0.080137	0.199895	...	0.446611	0.102079	-0.027374	0.285790	0.436226	0.153485	0.289426	-0.005970	0.085019	0.010023
25th Hour (2002)	0.099271	0.086447	0.092291	0.129941	0.007843	0.024449	0.159008	0.098673	0.045102	0.083324	...	0.191859	0.087437	0.059913	0.225921	0.100098	0.240280	0.047956	0.249499	0.248507	0.168650
27 Dresses (2008)	-0.028021	0.205511	-0.026642	0.294837	0.188470	0.145437	0.064660	0.021898	0.089952	0.018312	...	0.160286	0.063689	-0.027678	0.060365	0.118533	0.147150	0.037197	-0.033567	0.064983	0.029157
28 Days (2000)	0.107001	0.048670	-0.008488	0.132403	0.019482	0.206737	0.151488	0.081308	0.033600	-0.034045	...	0.065049	0.163407	0.027005	0.010332	0.152368	0.072583	0.015494	0.065135	0.104210	0.216301
28 Days Later (2002)	0.117119	0.149167	0.228241	0.092319	0.206790	0.071455	0.160777	0.140021	0.083261	0.239685	...	0.214041	0.172517	0.092135	0.401588	0.383334	0.229685	0.189544	0.224503	0.197735	0.168626
28 Weeks Later (2007)	-0.028967	0.157145	0.231702	0.101060	0.189832	0.148436	0.100161	0.198601	0.166171	0.274473	...	0.242398	0.159216	-0.028613	0.357109	0.374932	0.238080	0.224031	0.064251	0.321246	0.029030
30 Days of Night (2007)	0.144642	0.249836	0.263072	0.281717	0.312540	0.188786	0.190600	0.036231	0.034845	0.294734	...	0.324590	0.174297	0.089886	0.363568	0.321178	0.187827	0.223492	0.161365	0.312990	0.194935
300 (2007)	0.109059	0.343028	0.170440	0.279463	0.269534	0.203492	0.225538	0.176187	0.116833	0.159385	...	0.387559	0.154857	0.072462	0.356441	0.423674	0.405754	0.196377	0.143665	0.325824	0.151013
39 Steps, The (1935)	0.021677	-0.034688	-0.019994	0.031647	0.029504	0.053974	0.114909	0.093545	0.039436	-0.022627	...	0.029823	0.056629	0.127582	0.109203	0.045321	0.052951	0.036812	0.096690	0.084613	0.116609
3:10 to Yuma (2007)	0.131405	0.252980	0.104868	0.054965	0.156718	0.098664	0.186649	0.080942	0.118440	0.194177	...	0.273538	0.136278	0.019544	0.395323	0.289559	0.263533	0.226954	0.043132	0.297079	0.189668
